temperature,factor_k,factor_correction,unit_type
0,0.1,20,1
0,0.2,35,1
0,0.3,50,1
0,0.4,63,1
0,0.5,82,1
0,0.6,101,1
0,0.7,101,1
0,0.8,101,1
0,0.9,101,1
0,1,101,1
0,1.15,101,1
0,1.25,101,1
10,0.1,12,1
10,0.2,19,1
10,0.3,28,1
10,0.4,35,1
10,0.5,42,1
10,0.6,53,1
10,0.7,62,1
10,0.8,70,1
10,0.9,80,1
10,1,87,1
10,1.15,101,1
10,1.25,101,1
20,0.1,7,1
20,0.2,13,1
20,0.3,18,1
20,0.4,22,1
20,0.5,26,1
20,0.6,32,1
20,0.7,38,1
20,0.8,44,1
20,0.9,50,1
20,1,60,1
20,1.15,86,1
20,1.25,101,1
30,0.1,5,1
30,0.2,7,1
30,0.3,11,1
30,0.4,13,1
30,0.5,16,1
30,0.6,20,1
30,0.7,24,1
30,0.8,30,1
30,0.9,38,1
30,1,52,1
30,1.15,80,1
30,1.25,90,1
0,0.1,20,2
0,0.2,40,2
0,0.3,52,2
0,0.4,68,2
0,0.5,82,2
0,0.6,101,2
0,0.7,101,2
0,0.8,101,2
0,0.9,101,2
0,1,101,2
0,1.15,101,2
0,1.25,101,2
10,0.1,11,2
10,0.2,22,2
10,0.3,31,2
10,0.4,38,2
10,0.5,45,2
10,0.6,56,2
10,0.7,65,2
10,0.8,80,2
10,0.9,91,2
10,1,99,2
10,1.15,101,2
10,1.25,101,2
20,0.1,8,2
20,0.2,14,2
20,0.3,19,2
20,0.4,23,2
20,0.5,27,2
20,0.6,32,2
20,0.7,39,2
20,0.8,47,2
20,0.9,52,2
20,1,60,2
20,1.15,79,2
20,1.25,99,2
30,0.1,5,2
30,0.2,8,2
30,0.3,12,2
30,0.4,14,2
30,0.5,17,2
30,0.6,20,2
30,0.7,24,2
30,0.8,28,2
30,0.9,33,2
30,1,40,2
30,1.15,52,2
30,1.25,70,2
