id,name,key_name,sort,m_category_id,p_reg,dry_air,wet_air,by_pass1,by_pass2,rot,diam,hub,spokes,area,thickn,process,pu1,reg,pu2,security_margin,coefficient,rotor,capacity,applied_area,model_type
1000,DR-010 B,DR-010 B,10,1,0.69,190,40,0,0,36,180,42,39,0.0183,50,0.63,0.13,0.24,0,5,6,2,0.4,other,air_mixture
1001,DR-20B,DR-20B,20,1,1,330,60,0,0,28,250,62,30,0.0386,50,0.61,0.14,0.25,0,5,6,2,0.8,other,air_mixture
1002,DR-30D,DR-30D,30,1,1.35,360,75,0,0,23,300,62,30,0.0593,50,0.61,0.14,0.25,0,5,6,2,1.1,other,air_mixture
1003,DR-40-T10,DR-40-T10,40,1,1.9,600,120,0,0,25,450,62,45,0.1449,50,0.58,0.18,0.24,0,10,6,2,1.7,other,air_mixture
1004,DR-40-T16,DR-40-T16,50,1,3,550,150,0,0,25,450,62,45,0.1449,50,0.58,0.18,0.24,0,10,6,2,2.2,other,air_mixture
1005,DR-50 R,DR-50 R,60,1,4,600,180,0,0,25,450,62,45,0.1449,50,0.58,0.18,0.24,0,10,6,2,2.6,other,air_mixture
1006,RL-60R,RL-60R,70,1,5.4,850,180,0.7,0,31,550,62,45,0.2176,50,0.7,0.05,0.25,0,5,6,2,4.3,other,air_mixture
1007,RL-60LR,RL-60LR,80,1,7.5,1000,250,0.7,0,31,550,62,45,0.2176,50,0.7,0.05,0.25,0,5,6,2,5.2,other,air_mixture
1008,RL-61,RL-61,90,1,9,1300,280,0.7,0,15,550,62,45,0.2176,100,0.7,0.05,0.25,0,6,7,2,8.2,other,air_mixture
1009,RL-61 Ice,RL-61 Ice,100,1,9,1600,280,0.7,0,15,550,62,45,0.2176,100,0.7,0.05,0.25,0,3,20,2,8.9,other,air_mixture
1010,RL-61L,RL-61L,110,1,13.5,1800,420,0.7,0,25,550,62,45,0.2176,100,0.7,0.05,0.25,0,0,7,2,11.6,other,air_mixture
1011,RL-61L Ice,RL-61L Ice,120,1,13.5,2100,420,0.7,0,25,550,62,45,0.2176,100,0.7,0.05,0.25,0,1,20,2,12,other,air_mixture
1012,RL-71,RL-71,130,1,17,2500,650,0.7,0,45,660,62,45,0.3133,100,0.7,0.05,0.25,0,5,7,2,13.5,other,air_mixture
1013,RL-71 Ice,RL-71 Ice,140,1,17,3000,650,0.55,0,45,660,62,45,0.3133,100,0.7,0.05,0.25,0,3,20,2,15.2,other,air_mixture
1014,RL-71L,RL-71L,150,1,24,3200,900,0.6,0,45,660,62,45,0.3133,100,0.7,0.05,0.25,0,8,7,2,17.4,other,air_mixture
1015,RLZ-81,RLZ-81,160,1,24,2900,750,0.75,0,25,770,144,45,0.4271,100,0.7,0.05,0.25,0,5,7,2,19.3,other,air_mixture
1016,RLZ-82,RLZ-82,170,1,30,3500,1000,0.75,0,12,770,144,45,0.4271,200,0.7,0.05,0.25,0,5,8,1,25.1,other,air_mixture
1017,RLZ-101,RLZ-101,180,1,40,4600,1300,0.75,0,25,965,144,45,0.6851,100,0.7,0.05,0.25,0,5,7,2,31.4,other,air_mixture
1018,RLZ-102,RLZ-102,190,1,63,7000,2100,0.75,0,25,965,144,45,0.6851,200,0.7,0.05,0.25,0,5,8,1,49.7,other,air_mixture
1019,RLZ-102L,RLZ-102L,200,1,70,9000,2400,0.75,0,25,965,144,45,0.6851,200,0.7,0.05,0.25,0,5,8,1,56.2,other,air_mixture
1020,RLZ-104,RLZ-104,210,1,80,10500,2500,0.75,0,12,965,144,45,0.6851,400,0.7,0.05,0.25,0,5,9,1,69,other,air_mixture
1021,RLZ-81 Ice,RLZ-81 Ice,220,1,24,4500,750,0.75,0,25,770,144,45,0.4271,100,0.7,0.05,0.25,0,5,20,2,21.7,other,air_mixture
1022,RLZ-82 Ice,RLZ-82 Ice,230,1,30,6000,1000,0.75,0,12,770,144,45,0.4271,200,0.7,0.05,0.25,0,5,21,1,29.3,other,air_mixture
1023,RLZ-101 Ice,RLZ-101 Ice,240,1,40,9000,1300,0.75,0,25,965,144,45,0.6851,100,0.7,0.05,0.25,0,5,20,2,36.7,other,air_mixture
1024,RLZ-102 Ice,RLZ-102 Ice,250,1,63,12000,2100,0.75,0,25,965,144,45,0.6851,200,0.7,0.05,0.25,0,5,21,1,58.2,other,air_mixture
1025,RLF-081,RLF-081,260,1,24,3200,950,0.7,0,25,770,144,45,0.4271,100,0.7,0.05,0.25,0,5,7,2,19.5,other,air_mixture
1026,RLF-082,RLF-082,270,1,30,3500,1000,0.75,0,12,770,144,45,0.4271,200,0.7,0.05,0.25,0,5,8,1,25.1,other,air_mixture
1027,RLF-101,RLF-101,280,1,42,7000,1750,0.7,0,25,965,144,45,0.6851,100,0.7,0.05,0.25,0,5,7,2,34.8,other,air_mixture
1028,RLF-102,RLF-102,290,1,66,8500,2750,0.7,0,25,965,144,45,0.6851,200,0.7,0.05,0.25,0,5,8,1,52.6,other,air_mixture
1029,RLF-122,RLF-122,300,1,112,15600,4700,0.7,0,25,1220,168,45,1.1102,200,0.7,0.05,0.25,0,5,8,1,90.4,other,air_mixture
1030,RLF-152,RLF-152,310,1,158,16800,6300,0.7,0,25,1525,170,45,1.7599,200,0.7,0.05,0.25,0,5,8,1,120.4,other,air_mixture
1031,RLF-172,RLF-172,320,1,200,20500,8000,0.7,0,25,1730,270,45,2.235,200,0.7,0.05,0.25,0,5,8,1,148.8,other,air_mixture
1032,RLF-192,RLF-192,330,1,250,22750,10000,0.7,0,25,1940,270,45,2.84,200,0.7,0.05,0.25,0,5,8,1,177.4,other,air_mixture
1033,RLF-222,RLF-222,340,1,325,34000,13000,0.7,0,25,2190,270,42,3.6465,200,0.7,0.05,0.25,0,5,8,1,245.7,other,air_mixture
1034,RLF-242,RLF-242,350,1,380,41000,15200,0.7,0,25,2450,360,42,4.353,200,0.7,0.05,0.25,0,5,8,1,291.9,other,air_mixture
1035,DR-31 T10,DR-31 T10,360,2,1.9,310,110,0,0.5,24,300,62,12,0.0639,100,0.51,0.12,0.25,0.12,5,14,2,1.6,other,air_mixture
1036,CS-5,CS-5,370,3,0.65,65,30,0,0,36,180,42,39,0.0183,50,0.6,0,0.4,0,5,10,2,0.3,other,air_mixture
1037,CS-5L,CS-5L,380,3,0.85,90,50,0,0,36,180,42,39,0.0183,50,0.6,0,0.4,0,5,10,2,0.4,other,air_mixture
1038,DC-5,DC-5,390,3,0.85,120,40,0,0,36,180,42,39,0.0183,50,0.6,0,0.4,0,5,10,2,0.5,other,air_mixture
1039,DC-10,DC-10,400,3,1.1,190,60,0,0,36,180,42,39,0.0183,50,0.63,0,0.37,0,5,10,2,0.5,other,air_mixture
1040,DC-20,DC-20,410,3,1.7,310,60,0,0,28,250,62,30,0.0386,50,0.66,0,0.34,0,5,10,2,1.1,other,air_mixture
1041,DC-30 T10,DC-30 T10,420,3,1.8,400,90,0,0,23,300,62,30,0.0593,50,0.66,0,0.34,0,5,10,2,1.2,other,air_mixture
1042,DC-30 T16,DC-30 T16,430,3,2.8,400,70,0,0,23,300,62,30,0.0593,50,0.66,0,0.34,0,5,10,2,1.8,other,air_mixture
1043,DC-31 T10,DC-31 T10,440,3,2.1,300,120,0,0,24,300,62,12,0.0639,100,0.75,0,0.25,0,5,11,2,1.6,other,air_mixture
1044,DC-31 T16,DC-31 T16,450,3,2.9,490,110,0,0,24,300,62,12,0.0639,100,0.75,0,0.25,0,5,11,2,2.3,other,air_mixture
1045,DC-50 R,DC-50 R,460,3,5,550,150,0,0,25,450,62,45,0.1449,50,0.58,0,0.42,0,10,10,2,3,other,air_mixture
1046,CZ-82 ,CZ-82 ,470,3,30,3200,850,0,0,12,770,144,45,0.4271,200,0.75,0,0.25,0,5,12,1,22.6,other,air_mixture
1047,CZ-102 ,CZ-102 ,480,3,50,5200,1400,0,0,12,965,144,45,0.6851,200,0.75,0,0.25,0,5,12,1,37.1,other,air_mixture
1048,CZ-102L,CZ-102L,490,3,74,7200,2000,0,0,12,965,144,45,0.6851,200,0.75,0,0.25,0,5,12,1,47.6,other,air_mixture
1049,CZ-104,CZ-104,500,3,95,8000,2500,0,0,12,965,144,45,0.6851,400,0.75,0,0.25,0,5,13,1,63.5,other,air_mixture
1050,CZ-82 ICE,CZ-82 ICE,510,3,30,6000,850,0,0,12,770,144,45,0.4271,200,0.75,0,0.25,0,5,22,1,26,other,air_mixture
1051,CZ-102 ICE,CZ-102 ICE,520,3,50,12000,1400,0,0,12,965,144,45,0.6851,200,0.75,0,0.25,0,5,22,1,44.6,other,air_mixture
1052,CZ-102L ICE,CZ-102L ICE,530,3,74,12000,2000,0,0,12,965,144,45,0.6851,200,0.75,0,0.25,0,5,22,1,55.6,other,air_mixture
1053,CZ-104 ICE,CZ-104 ICE,540,3,95,10000,2500,0,0,12,965,144,45,0.6851,400,0.75,0,0.25,0,5,23,1,70.1,other,air_mixture
1054,CZ-82HW 6/4,CZ-82HW 6/4,550,3,30,3200,1600,0,0,12,770,144,45,0.4271,200,0.6,0,0.4,0,10,12,1,19.3,other,air_mixture
1055,CZ-102HW 6/4,CZ-102HW 6/4,560,3,56,7200,3000,0,0,12,965,144,45,0.6851,200,0.6,0,0.4,0,10,12,1,36.7,other,air_mixture
1056,CZ-82HWR 6/4,CZ-82HWR 6/4,570,3,60,3200,1600,0,0,12,770,144,45,0.4271,200,0.6,0,0.4,0,5,12,1,25.4,other,air_mixture
1057,CZ-102HWR 6/4,CZ-102HWR 6/4,580,3,116,7200,3000,0,0,12,965,144,45,0.6851,200,0.6,0,0.4,0,5,12,1,50.2,other,air_mixture
1058,CF-081 ,CF-081 ,590,3,29,2100,800,0,0,12,770,144,45,0.4271,100,0.75,0,0.25,0,5,11,2,15.6,other,air_mixture
1059,CF-101,CF-101,600,3,48,3300,1300,0,0,12,965,144,45,0.6851,100,0.75,0,0.25,0,5,11,2,25.1,other,air_mixture
1060,CF-102,CF-102,610,3,92,6500,2500,0,0,12,965,144,45,0.6851,200,0.75,0,0.25,0,5,12,1,46.8,other,air_mixture
1061,CF-122,CF-122,620,3,147,10600,4000,0,0,12,1220,168,45,1.1102,200,0.76,0,0.24,0,5,12,1,76.2,other,air_mixture
1062,CF-152,CF-152,630,3,231,16800,6300,0,0,12,1525,170,45,1.7599,200,0.75,0,0.25,0,5,12,1,120,other,air_mixture
1063,CF-172,CF-172,640,3,293,20500,8000,0,0,12,1730,270,45,2.235,200,0.74,0,0.26,0,5,12,1,148.9,other,air_mixture
1064,CF-192,CF-192,650,3,367,22750,10000,0,0,12,1940,270,45,2.84,200,0.75,0,0.25,0,5,12,1,177.3,other,air_mixture
1065,CF-222,CF-222,660,3,477,34000,13000,0,0,12,2190,270,42,3.6465,200,0.75,0,0.25,0,5,12,1,248.62,other,air_mixture
1066,CF-242,CF-242,670,3,557,41000,15200,0,0,12,2450,360,42,4.353,200,0.75,0,0.25,0,5,12,1,295.94,other,air_mixture
1067,CF-081 6/4,CF-081 6/4,680,3,16,2100,800,0,0,12,770,144,45,0.4271,100,0.6,0,0.4,0,10,11,2,11.72,other,air_mixture
1068,CF-101 6/4,CF-101 6/4,690,3,26,3300,1300,0,0,12,965,144,45,0.6851,100,0.58,0,0.42,0,10,11,2,18.97,other,air_mixture
1069,CF-102 6/4,CF-102 6/4,700,3,50,6500,4200,0,0,12,965,144,45,0.6851,200,0.58,0,0.42,0,10,12,1,28.63,other,air_mixture
1070,CF-122 6/4,CF-122 6/4,710,3,80,10600,4000,0,0,12,1220,168,45,1.1102,200,0.58,0,0.42,0,10,12,1,56.71,other,air_mixture
1071,CF-152 6/4,CF-152 6/4,720,3,126,16800,6300,0,0,12,1525,170,45,1.7599,200,0.56,0,0.44,0,10,12,1,89.56,other,air_mixture
1072,CF-172 6/4,CF-172 6/4,730,3,160,20500,8000,0,0,12,1730,270,45,2.235,200,0.59,0,0.41,0,10,12,1,111.5,other,air_mixture
1073,CF-192 6/4,CF-192 6/4,740,3,200,22750,10000,0,0,12,1940,270,45,2.84,200,0.58,0,0.42,0,10,12,1,133.13,other,air_mixture
1074,CF-222 6/4,CF-222 6/4,750,3,260,34000,13000,0,0,12,2190,270,42,3.6465,200,0.6,0,0.4,0,10,12,1,183.52,other,air_mixture
1075,CF-242 6/4,CF-242 6/4,760,3,304,41000,15200,0,0,12,2450,360,42,4.353,200,0.6,0,0.4,0,10,12,1,217.18,other,air_mixture
2000,DR-010 B,DR-010 B,770,1,0.69,190,40,0,0,36,180,42,39,0.0183,50,0.63,0.13,0.24,0,5,6,2,0.4,asia,air_mixture
2001,DR-20B,DR-20B,780,1,1,330,60,0,0,28,250,62,30,0.0386,50,0.61,0.14,0.25,0,5,6,2,0.8,asia,air_mixture
2002,DR-30D,DR-30D,790,1,1.35,360,75,0,0,23,300,62,30,0.0593,50,0.61,0.14,0.25,0,5,6,2,1.1,asia,air_mixture
2003,DR-40-T10,DR-40-T10,800,1,1.9,600,120,0,0,25,450,62,45,0.1449,50,0.58,0.18,0.24,0,10,6,2,1.7,asia,air_mixture
2004,DR-40-T16,DR-40-T16,810,1,3,550,150,0,0,25,450,62,45,0.1449,50,0.58,0.18,0.24,0,10,6,2,2.2,asia,air_mixture
2005,DR-50 R,DR-50 R,820,1,4,600,180,0,0,25,450,62,45,0.1449,50,0.58,0.18,0.24,0,10,6,2,2.6,asia,air_mixture
2006,RLA-60R,RLA-60R,830,1,5.4,850,180,0.7,0,31,550,62,45,0.2176,50,0.7,0.05,0.25,0,5,6,2,4.3,asia,air_mixture
2007,RLA-60LR,RLA-60LR,840,1,7.5,1000,250,0.7,0,31,550,62,45,0.2176,50,0.7,0.05,0.25,0,5,6,2,5.2,asia,air_mixture
2008,RA-051 R,RA-051 R,850,1,9,1250,430,0.4,0,42,550,62,45,0.2176,100,0.58,0.18,0.24,0,5,7,2,7.7,asia,air_mixture
